species_id	total_cds	annotated_cds	biofilm	ab_degradation	quorum_sensing	siderophores	secretion_system_no4	gram_profile	nb_extracellular	sporulation_score	host	sim_within	nb_site_within	sim_between	nb_site_between	within_host_relatedness	mean_relatedness	nb_host	species.host	within_host_relative_abundance
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS050941	0.99715914	990860	0.997430366	991137	-0.105550701	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS050941	0.015555696
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS046502	0.997671956	956837	0.997430366	991137	0.094017279	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS046502	0.021127585
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS015246	0.996692281	990742	0.997430366	991137	-0.287233714	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS015246	0.033732111
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS023715	0.997929235	991120	0.997430366	991137	0.194139932	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS023715	0.069990804
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS149244	0.997235403	990666	0.997430366	991137	-0.07587179	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS149244	0.021345427
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS011239	0.999229309	976607	0.997430366	991137	0.700077515	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS011239	0.004087348
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS065176	0.998151296	984771	0.997430366	991137	0.280557333	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS065176	0.013351489
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS023346	0.998933501	988813	0.997430366	991137	0.584960865	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS023346	0.010799781
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS014683	0.999175636	991117	0.997430366	991137	0.679190103	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS014683	0.024212948
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS016517	0.997288538	990192	0.997430366	991137	-0.055194094	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS016517	0.012591734
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2	n	10	0.181818182	HMP_SRS015264	0.999469465	989298	0.997430366	991137	0.793536613	0.254784486	11	Acidaminococcus_intestini_54097.HMP_SRS015264	0.010860808
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS022713	0.999734431	798189	0.990274268	800153	0.972694152	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS022713	0.038502898
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS075773	0.998679764	799915	0.990274268	800153	0.864253345	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS075773	0.038029123
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS098061	0.999027996	798560	0.990274268	800153	0.900058491	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS098061	0.038382555
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS014855	0.9977163	799991	0.990274268	800153	0.765189942	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS014855	0.01729544
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS015133	0.999521626	796697	0.990274268	800153	0.950813531	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS015133	0.03745341
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS893373	0.99974445	773947	0.990274268	800153	0.973724333	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS893373	0.00674558
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS014979	0.999455634	800153	0.990274268	800153	0.944028233	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS014979	0.07870536
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS011134	0.998969438	793683	0.990274268	800153	0.894037609	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS011134	0.010100664
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS1041039	0.999747929	799741	0.990274268	800153	0.974082035	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS1041039	0.020091344
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS015663	0.999600474	799579	0.990274268	800153	0.958920689	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS015663	0.016856942
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS015579	0.996005598	799925	0.990274268	800153	0.589295462	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS015579	0.030320835
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS016132	0.996567947	800153	0.990274268	800153	0.647116264	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS016132	0.101810466
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS075878	0.998957674	768327	0.990274268	800153	0.892828055	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS075878	0.005151179
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3	n	22	0.196969697	HMP_SRS017103	0.999543506	800026	0.990274268	800153	0.953063291	0.882139242	43	Akkermansia_muciniphila_55290.HMP_SRS017103	0.015396128
