species	score_30_raw	score_25_raw	score_20_raw	score_10_raw
Acidaminococcus_intestini_54097	0.181818181818182	0.196969696969697	0.227272727272727	0.227272727272727
Akkermansia_muciniphila_55290	0.196969696969697	0.227272727272727	0.257575757575758	0.257575757575758
Alistipes_finegoldii_56071	0.121212121212121	0.166666666666667	0.212121212121212	0.212121212121212
Alistipes_indistinctus_62207	0.106060606060606	0.151515151515152	0.166666666666667	0.181818181818182
Alistipes_onderdonkii_55464	0.136363636363636	0.166666666666667	0.212121212121212	0.212121212121212
Alistipes_putredinis_61533	0.106060606060606	0.151515151515152	0.181818181818182	0.181818181818182
Alistipes_senegalensis_58364	0.121212121212121	0.166666666666667	0.181818181818182	0.181818181818182
Alistipes_shahii_62199	0.106060606060606	0.166666666666667	0.181818181818182	0.181818181818182
Alistipes_sp_58363	0.121212121212121	0.181818181818182	0.196969696969697	0.196969696969697
Alistipes_sp_59510	0.151515151515152	0.166666666666667	0.196969696969697	0.212121212121212
Alistipes_sp_60764	0.121212121212121	0.166666666666667	0.181818181818182	0.212121212121212
Anaerostipes_hadrus_55206	0.53030303030303	0.560606060606061	0.606060606060606	0.651515151515151
Bacteroidales_bacterium_58650	0.136363636363636	0.166666666666667	0.181818181818182	0.181818181818182
Bacteroides_caccae_53434	0.181818181818182	0.181818181818182	0.196969696969697	0.196969696969697
Bacteroides_cellulosilyticus_58046	0.151515151515152	0.151515151515152	0.196969696969697	0.196969696969697
Bacteroides_clarus_62282	0.166666666666667	0.166666666666667	0.181818181818182	0.181818181818182
Bacteroides_coprocola_61586	0.151515151515152	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_coprophilus_61767	0.151515151515152	0.151515151515152	0.166666666666667	0.166666666666667
Bacteroides_eggerthii_54457	0.166666666666667	0.166666666666667	0.181818181818182	0.181818181818182
Bacteroides_faecis_58503	0.181818181818182	0.181818181818182	0.196969696969697	0.196969696969697
Bacteroides_finegoldii_57739	0.166666666666667	0.166666666666667	0.181818181818182	0.181818181818182
Bacteroides_fragilis_54507	0.166666666666667	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_fragilis_56548	0.166666666666667	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_intestinalis_61596	0.181818181818182	0.181818181818182	0.196969696969697	0.212121212121212
Bacteroides_massiliensis_44749	0.166666666666667	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_nordii_55557	0.151515151515152	0.181818181818182	0.196969696969697	0.212121212121212
Bacteroides_ovatus_58035	0.181818181818182	0.181818181818182	0.196969696969697	0.212121212121212
Bacteroides_pectinophilus_61619	0.439393939393939	0.5	0.5	0.575757575757576
Bacteroides_plebeius_61623	0.151515151515152	0.166666666666667	0.181818181818182	0.212121212121212
Bacteroides_salyersiae_54873	0.166666666666667	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_sartorii_54642	0.151515151515152	0.151515151515152	0.181818181818182	0.196969696969697
Bacteroides_stercoris_56735	0.166666666666667	0.166666666666667	0.181818181818182	0.181818181818182
Bacteroides_thetaiotaomicron_56941	0.166666666666667	0.166666666666667	0.181818181818182	0.196969696969697
Bacteroides_uniformis_57318	0.136363636363636	0.151515151515152	0.181818181818182	0.196969696969697
Bacteroides_vulgatus_57955	0.166666666666667	0.166666666666667	0.212121212121212	0.212121212121212
Barnesiella_intestinihominis_62208	0.151515151515152	0.166666666666667	0.196969696969697	0.196969696969697
Bifidobacterium_adolescentis_56815	0.136363636363636	0.151515151515152	0.151515151515152	0.166666666666667
Bifidobacterium_longum_57796	0.106060606060606	0.136363636363636	0.166666666666667	0.181818181818182
Blautia_wexlerae_56130	0.46969696969697	0.515151515151515	0.515151515151515	0.590909090909091
Burkholderiales_bacterium_56577	0.181818181818182	0.212121212121212	0.242424242424242	0.242424242424242
Butyricimonas_virosa_58742	0.181818181818182	0.181818181818182	0.196969696969697	0.196969696969697
Butyrivibrio_crossotus_61674	0.484848484848485	0.515151515151515	0.545454545454545	0.621212121212121
